,이름,영문이름,종류,나라,생산지,제조사,포도품종,주포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소
391,파크 에 피스 퀴베 오로레 블랑 드 블랑 프리미에 크뤼,PAQUES & FILS CUVEE AURORE BDB 1er,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12.5,85000,4.2,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2875
392,파크 에 피스 퀴베 오리진 프리미에 크뤼,PAQUES ET FILS CUVEE ORIGINE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,"샤르도네(CHARDONNAY) 80%, 피노 누아(PINOT NOIR) 20%","샤르도네(CHARDONNAY) 80%, 피노 누아(PINOT NOIR) 20%",12.5,99000,4.1,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2874
393,모리스 가비네 뫼르소,MAURICE GAVIGNET MEURSAULT,White,프랑스,부르고뉴,모리스 가비네,샤르도네 (CHARDONNAY) 100%,샤르도네 (CHARDONNAY) 100%,13,180000,4.0,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2873
394,모리스 가비네 뽀마르,MAURICE GAVIGNET POMMARD,Red,프랑스,부르고뉴,모리스 가비네,피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,13,120000,4.0,3,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2872
395,샴페인 에띠엔 깔삭 레샤뻬 벨 블랑 드 블랑 1ER,CHAMPAGNE PALMER BRUT RESERVE,Champagne,프랑스,상파뉴,SARL ETIENNE CALSAC,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12,180000,4.1,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2870
396,파크 에 피스 카르트 루즈 프리미에 크뤼,PAQUES & FILS CARTE ROUGE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,"피노 누아(PINOT NOIR) 50%, 샤르도네(CHARDONNAY) 50%","피노 누아(PINOT NOIR) 50%, 샤르도네(CHARDONNAY) 50%",12.5,69000,4.1,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2866
397,파크 에 피스 브뤼 나투르 프리미에 크뤼,PAQUES ET FILS BRUT NATURE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,"피노 누아(PINOT NOIR) 80%, 피노 므니에(PINOT MEUNIER) 20%","피노 누아(PINOT NOIR) 80%, 피노 므니에(PINOT MEUNIER) 20%",12.5,79000,4.2,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2865
398,파크 에 피스 그랑 리저브 프리미에 크뤼,PAQUES ET FILS GRANDE RESERVE 1ER,Champagne,프랑스,"프랑스, 상파뉴",파크 에 피스,"샤르도네(CHARDONNAY) 70%, 피노 누아(PINOT NOIR) 30%","샤르도네(CHARDONNAY) 70%, 피노 누아(PINOT NOIR) 30%",12.5,89000,4.0,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2864
399,부온크리스티아니 오피씨 나파 밸리 레드,BUONCRISTIANI O.P.C NAPA VALLEY RED,Red,미국,"미국, 캘리포니아,나파",부온크리스티아니,"카베르네 소비뇽(CABERNET SAUVIGNON) 44%, 말벡(MALBEC) 28%, 시라(SYRAH) 24%, 메를로(MERLOT) 4%","카베르네 소비뇽(CABERNET SAUVIGNON) 44%, 말벡(MALBEC) 28%, 시라(SYRAH) 24%, 메를로(MERLOT) 4%",14.5,180000,4.2,3,0,4,5,https://www.winenara.com/goods/goods_view.php?goodsNo=2863
400,부온크리스티아니 나파 밸리 카베르네 소비뇽,BUONCRISTIANI NAPA VALLEY CABERNET SAUVIGON,Red,미국,"미국, 캘리포니아,나파",부온크리스티아니,"카베르네 소비뇽(CABERNET SAUVIGNON) 95%, 말벡(MALBEC) 3%, 쁘띠 베르도(PETIT VERDOT)2%","카베르네 소비뇽(CABERNET SAUVIGNON) 95%, 말벡(MALBEC) 3%, 쁘띠 베르도(PETIT VERDOT)2%",15,280000,4.4,3,0,5,5,https://www.winenara.com/goods/goods_view.php?goodsNo=2862
401,부온크리스티아니 나파 밸리 샤르도네,BUONCRISTIANI NAPA VALLEY CHARDONNAY,White,미국,"미국, 캘리포니아,나파",부온크리스티아니,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,14.4,140000,4.1,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2861
402,스칼라브로네 볼게리 로제,SCALABRONE BOLGHERI ROSE,Rose,이탈리아,"이탈리아,토스카나",안티노리,"카베르네 소비뇽(CABERNET SAUVIGNON) 40%, 메를로(MERLOT) 30%, 시라(SYRAH) 30%","카베르네 소비뇽(CABERNET SAUVIGNON) 40%, 메를로(MERLOT) 30%, 시라(SYRAH) 30%",12.5,39000,3.9,4,0,3,1,https://www.winenara.com/goods/goods_view.php?goodsNo=2860
403,브라미토 델 체르보,BRAMITO DEL CERVO,White,이탈리아,"이탈리아,움브리아",안티노리,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12.5,48000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2859
404,도멘 베르타냐 샹볼 뮈지니 빌라쥐,DOMAINE BERTAGNA CHAMBOLLE MUSIGNY VILLAGE,Red,프랑스,"프랑스, 부르고뉴",도멘 베르타냐 DOMAINE BERTAGNA,피노누아(PINOT NOIR) 100%,피노누아(PINOT NOIR) 100%,13,160000,4.0,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2858
405,트림바크 리저브 피노누아,TRIMBACH RESERVE PINOT NOIR,Red,프랑스,"프랑스, 알자스",트림바크,피노누아(PINOT NOIR) 100%,피노누아(PINOT NOIR) 100%,13,60000,3.7,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2857
406,시모네 페브르 샤블리 1등급,SIMONNET FEBVRE CHABLIS 1ER CRU,White,프랑스,"부르고뉴, 샤블리",시모네 페브르 (Simonnet Febvre),샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,13,60000,3.9,4,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2856
407,어니스트 레미 옥시모어 그랑크뤼,ERNEST REMY OXYMORE GRAND CRU,Champagne,프랑스,"프랑스,상파뉴",어니스트 레미,"피노누아(PINOT NOIR) 60%, 샤르도네(CHARDONNAY) 40%","피노누아(PINOT NOIR) 60%, 샤르도네(CHARDONNAY) 40%",12,00139,4.4,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2854
408,로스 인토카블레스 샤르도네,LOS INTOCABLES CHARDONNAY,White,아르헨티나,아르헨티나,핀카 라스 모라스 Finca Las Moras (Penaflor),샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12,32000,3.7,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2852
409,로스 인토카블레스 카베르네 소비뇽,LOS INTOCABLES CABERNET SAUVIGNON,Red,아르헨티나,아르헨티나,핀카 라스 모라스 Finca Las Moras (Penaflor),카베르네 소비뇽(CABERNET SAUVIGNON) 100%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,13.5,32000,3.8,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2851
410,베커스 시라 그르나슈,BEKKERS SYRAH GRENACHE,Red,호주,맥라렌 베일,베커스(BEKKERS),"시라(SYRAH) 64%, 그르나슈(GRENACHE) 36%","시라(SYRAH) 64%, 그르나슈(GRENACHE) 36%",14,120000,4.3,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2812
411,베커스 시라,BEKKERS SYRAH,Red,호주,맥라렌 베일,베커스(BEKKERS),시라(SYRAH) 100%,시라(SYRAH) 100%,14.5,140000,4.6,3,0,5,5,https://www.winenara.com/goods/goods_view.php?goodsNo=2811
412,알파박스 앤 다이스 헤라클레스,ALPHA BOX AND DICE HERCULES,Red,호주,맥라렌 베일,알파 박스 & 다이스,쉬라즈 (SHIRAZ) 100%,쉬라즈 (SHIRAZ) 100%,16,99000,4.4,4,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2809
413,알파박스 앤 다이스 포그 네비올로,ALPHA BOX AND DICE FOG NEBBIOLO,Red,호주,맥라렌 베일,알파 박스 & 다이스,네비올로 (NEBBIOLO) 100%,네비올로 (NEBBIOLO) 100%,14.7,49000,4.1,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2808
414,알파박스 앤 다이스 아포스틀,ALPHA BOX AND DICE APOSTLE,Red,호주,맥라렌 베일,알파 박스 & 다이스,"쉬라즈 (SHIRAZ) 93% , 쁘띠 시라 (PETITE SIRAH) 7%","쉬라즈 (SHIRAZ) 93% , 쁘띠 시라 (PETITE SIRAH) 7%",14.1,49000,4.0,4,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2805
415,알파박스 앤 다이스 아이코나,ALPHA BOX AND DICE ICONA,Red,호주,맥라렌 베일,알파 박스 & 다이스,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,16.1,49000,4.2,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2804
416,알파박스 앤 다이스 시렌,ALPHA BOX AND DICE SIREN,Red,호주,맥라렌 베일,알파 박스 & 다이스,네로 다볼라(NERO D'AVOLA) 100%,네로 다볼라(NERO D'AVOLA) 100%,13.8,45000,4.0,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2803
417,알파박스 앤 다이스 미스트레스,ALPHA BOX AND DICE MISTRESS,Red,호주,맥라렌 베일,알파 박스 & 다이스,"또우리가 나씨오날(TOURIGA NACIONAL) 49% , 템프라니요(TEMPRANILLO) 30% , 까리냥(CARIGNAN) 21%","또우리가 나씨오날(TOURIGA NACIONAL) 49% , 템프라니요(TEMPRANILLO) 30% , 까리냥(CARIGNAN) 21%",13.8,35000,4.0,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2802
418,알파박스 앤 다이스 데드 와인메이커스 소사이어티 뮈스카,ALPHA BOX AND DICE DEAD WINEMAKERS SOCIETY MUSCAT,White,호주,"남호주, 맥라렌 베일",알파 박스 & 다이스,뮈스카(Muscat) 30%,뮈스카(Muscat) 30%,12.4,35000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2801
419,리틀뷰티 드라이 리슬링,LITTLE BEAUTY DRY RIESLING,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,리슬링(RIESLING) 100%,리슬링(RIESLING) 100%,12,55000,3.9,5,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2799
420,리틀 뷰티 블랙 에디션 피노그리,LITTLE BEAUTY BLACK EDITION PINOT GRIS,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,피노그리 (PINOT GRIS) 100%,피노그리 (PINOT GRIS) 100%,13,100000,4.0,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2798
421,디비누스,DIVINUS,Red,프랑스,"프랑스, 보르도",LES VIGNOBLES ANDRE LURTON,"메를로(MERLOT) 80% , 카베르네 소비뇽(CABERNET SAUVIGNON) 20%","메를로(MERLOT) 80% , 카베르네 소비뇽(CABERNET SAUVIGNON) 20%",13,150000,3.9,3,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2795
422,리틀 뷰티 블랙 에디션 소비뇽블랑,LITTLE BEAUTY BLACK EDITION SAUVIGNON BLANC,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,소비뇽 블랑 (Sauvignon Blanc) 100%,소비뇽 블랑 (Sauvignon Blanc) 100%,13,100000,4.2,4,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2788
423,조단 샤르도네,JORDAN CHARDONNAY,White,미국,"미국,캘리포니아,소노마",조단 와이너리(Jordan Vineyard & Winery),샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,13.7,120000,4.0,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2778
424,카띠에르 브뤼 프리미에 크뤼,CATTIER BRUT PREMIER CRU,Champagne,프랑스,상파뉴,CHAMPAGNE CATTIER,"피노 므니에(PINOT MEUNIER) 60%, 피노 누아(PINOT NOIR) 20% , 샤르도네(CHARDONNAY) 20%","피노 므니에(PINOT MEUNIER) 60%, 피노 누아(PINOT NOIR) 20% , 샤르도네(CHARDONNAY) 20%",12.5,85000,3.8,1,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2767
425,쇼 앤 스미스 렌스우드 피노누아,SHAW AND SMITH LENSWOOD PINOT NOIR,Red,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,피노누아 (PINOT NOIR) 100%,피노누아 (PINOT NOIR) 100%,13,109000,4.1,3,0,4,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2751
426,쇼 앤 스미스 렌스우드 샤르도네,SHAW AND SMITH LENSWOOD CHARDONNAY,White,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,13,109000,4.3,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2750
427,앤젤린 러시안 리버 밸리 피노누아,ANGELINE RUSSIAN RIVER VALLEY PINOT NOIR,Red,미국,"미국, 캘리포니아",MARTIN RAY and ANGELINE WINERY,피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,13.7,29900,3.7,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2747
428,파이퍼하이직 레어 08,PIPER HEIDSIECK RARE 08,Champagne,프랑스,샴페인,파이퍼 하이직,"샤르도네 (Chardonnay) 70%, 피노 누아 (Pinot Noir) 30%","샤르도네 (Chardonnay) 70%, 피노 누아 (Pinot Noir) 30%",12,400000,4.3,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2734
429,알파카 브뤼,ALPACA BRUT,Sparkling,칠레,-,VSPT,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12,25000,3.0,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2731
430,닥터 린드만 빈25 스파클링 뀌베,LINDEMAN'S BIN 25 SPARKLING CUVEE,Sparkling,호주,-,TREASURY WINE ESTATES,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY), 피노 므니에(PINOT MEUNIER)","피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY), 피노 므니에(PINOT MEUNIER)",12,20000,3.3,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2730
431,폴 당장 뀌베 카르트 누와,PAUL DANGIN CUVEE CARTE NOIRE,Champagne,프랑스,상파뉴,SARL DANGIN,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY), 피노 므니에(PINOT MEUNIER)","피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY), 피노 므니에(PINOT MEUNIER)",12,70000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2727
432,샴페인 팔머 브뤼 리저브,CHAMPAGNE PALMER BRUT RESERVE,Champagne,프랑스,상파뉴,CHAMPAGNE PALMER & CO.,"샤르도네(CHARDONNAY) 55% , 피노 누아(PINOT NOIR) 35% , 피노 므니에(PINOT MEUNIER) 10%","샤르도네(CHARDONNAY) 55% , 피노 누아(PINOT NOIR) 35% , 피노 므니에(PINOT MEUNIER) 10%",12,150000,3.8,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2726
433,샴페인 팔머 빈티지,CHAMPAGNE PALMER VINTAGE,Champagne,프랑스,상파뉴,,"샤르도네(CHARDONNAY) 50% , 피노 누아(PINOT NOIR) 50%","샤르도네(CHARDONNAY) 50% , 피노 누아(PINOT NOIR) 50%",12,240000,4.0,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2725
434,[하프와인] 알파카 샤르도네 세미옹,Alpaca Chardonnay Semillon,White,칠레,-,VSPT,"샤르도네 (Chardonnay), 세미옹(Semillon)","샤르도네 (Chardonnay), 세미옹(Semillon)",13,08900,2.9,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2708
435,침니 락 엘바쥬,CHIMNEY ROCK ELEVAGE,Red,미국,"캘리포니아, 나파 밸리",,"메를로 (Merlot), 까베르네 소비뇽 (Cabernet Sauvignon), 쁘띠 베르도 (Petit Verdot), 까베르네 프랑(Cabernet Franc)","메를로 (Merlot), 까베르네 소비뇽 (Cabernet Sauvignon), 쁘띠 베르도 (Petit Verdot), 까베르네 프랑(Cabernet Franc)",14.5,320000,4.3,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2705
436,퍼스트 드랍 메르 에 피스 샤르도네,FIRST DROP MOTHER'S MERE ET FILS CHARDONNAY,White,호주,아들레이드힐,FIRST DROP WINES,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12.5,39000,3.4,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2697
437,퍼스트 드랍 마더스 밀크 쉬라즈,FIRST DROP MOTHER'S MILK SHIRAZ,Red,호주,바로사밸리,FIRST DROP WINES,쉬라즈(SHIRAZ) 100%,쉬라즈(SHIRAZ) 100%,14.5,39000,3.9,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2696
438,퍼스트 드랍 마더스 루인 카베르네 소비뇽,FIRST DROP MOTHER'S RUIN CABERNET SAUVIGNON,Red,호주,맥라렌 베일,FIRST DROP WINES,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,13.5,39000,3.7,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2695
439,아라스 이제이 카 레이트 디스고르쥬,ARRAS E.J.CARR LATE DISGOARGED,Sparkling,호주,타즈매니아,ACCOLADE WINES / 하우스 오브 아라스,"샤르도네(CHARDONNAY) 69.2% , 피노 누아(PINOT NOIR) 30.8%","샤르도네(CHARDONNAY) 69.2% , 피노 누아(PINOT NOIR) 30.8%",13,229000,4.4,4,0,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2693
440,더 바이스 카베르네 소비뇽 하웰 마운틴,THE VICE CABERNET SAUVIGNON HOWELL MOUNTAIN,Red,미국,"미국, 캘리포니아,나파",The Vice,"카베르네 소비뇽(CABERNET SAUVIGNON) 99%, 메를로(MERLOT) 1%","카베르네 소비뇽(CABERNET SAUVIGNON) 99%, 메를로(MERLOT) 1%",15,130000,4.4,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2689
441,더 바이스 '더 트리 블렌드',THE VICE 'THE TRI BLEND',Red,미국,"미국, 캘리포니아,나파",The Vice,"말벡(MALBEC) 54% , 카베르네 소비뇽(CABERNET FRANC) 30%, 쁘띠 시라(PETITE SIRAH) 16%","말벡(MALBEC) 54% , 카베르네 소비뇽(CABERNET FRANC) 30%, 쁘띠 시라(PETITE SIRAH) 16%",14.6,79000,4.0,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2687
442,페를라토 델 보스코 비앙코,PERLATO DEL BOSCO BIANCO,White,이탈리아,"이태리, 토스카나",AZIENDA AGRICOLA TUA RITA,베르멘티노(VERMENTINO) 100%,베르멘티노(VERMENTINO) 100%,14,60000,3.8,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2684
443,르 모르텔레 비비아,LE MORTELLE VIVIA,White,이탈리아,"이태리, 토스카나",MARCHESI ANTINORI S.P.A.,"베르멘티노(VERMENTINO) 50% , 비오니에(VIOGNIER) 40%, 안소니카(Ansonica) 10%","베르멘티노(VERMENTINO) 50% , 비오니에(VIOGNIER) 40%, 안소니카(Ansonica) 10%",13,35000,3.6,3,2,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2683
444,파이-카리네라 싱글 퍼멘트 시리즈 피닉스 퍼멘트,PAIS-CARIGNERA SINGLE FERMENT SERIES,White,칠레,센트럴밸리,가라지와인(Garage Wine Co.),"알리아니코(AGLIANICO) 70% , 생소(CINSAULT) 30%","알리아니코(AGLIANICO) 70% , 생소(CINSAULT) 30%",12.8,39000,3.7,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2678
445,피르케빈야드 카베르네 프랑 로트 90,PIRQUE VINEYARD CABERNET FRANC LOT 90,Red,칠레,마이포 밸리,가라지와인(Garage Wine Co.),카베르네 프랑(CABERNET FRANC) 100%,카베르네 프랑(CABERNET FRANC) 100%,14,80000,4.1,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2677
446,생소 싱글 퍼멘트 시리즈 더 수스 세이어스 퍼멘트,VIGNO DRY FARMED OLD VINES MAULE VALLEY,Red,칠레,센트럴밸리,가라지와인(Garage Wine Co.),생소(CINSAULT) 100%,생소(CINSAULT) 100%,13.8,39000,3.7,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2674
447,비뇨 드라이 팜 올드바인 마울레 밸리,VIGNO DRY FARMED OLD VINES MAULE VALLEY,Red,칠레,센트럴밸리,가라지와인(Garage Wine Co.),카리냥(CARIGNAN) 100%,카리냥(CARIGNAN) 100%,13,110000,3.8,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2673
448,바구알 빈야드 칼리보로 로트 79 가르나차,BAGUAL VINEYARD CALIBORO LOT 79 GARNACHA,Red,칠레,센트럴밸리,가라지와인(Garage Wine Co.),그르나슈(GRENACHE) 100%,그르나슈,14.9,80000,3.9,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2672
449,쿠네 리오하 오가닉 레드,CUNE RIOJA ORGANIC RED,Red,스페인,리오하 알타,쿠네,템프라니요 (Tempranillo) 100%,템프라니요 (Tempranillo) 100%,13.5,32000,3.7,3,3,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2670
450,커치 소노마 코스트 피노누아,KUTCH SONOMA COAST PINOT NOIR,Red,미국,"미국, 캘리포니아 소노마",Kutch Wines,피노누아 (PINOT NOIR) 100%,피노누아 (PINOT NOIR) 100%,13.2,99000,4.1,4,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2667
451,커치 맥두갈 랜치 소노마 코스트 피노누아,KUTCH MCDOUGALL VINEYARD SONOMA COAST PINOT NOIR,Red,미국,"미국, 캘리포니아 소노마",Kutch Wines,피노누아 (PINOT NOIR) 100%,피노누아 (PINOT NOIR) 100%,13.5,130000,4.2,4,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2666
452,커치 시그널 릿지 빈야드 멘도치노 피노누아,KUTCH SIGNAL RIDGE VINEYARD MENDOCINO PINOT NOIR,Red,미국,"미국, 캘리포니아 소노마",Kutch Wines,피노누아 (PINOT NOIR) 100%,피노누아 (PINOT NOIR) 100%,12,59000,4.2,4,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2665
453,요하닝거 레드,JOHANNINGER RED,Red,독일,"독일, 라인헤센",JOHANNINGER,"생 로랑(ST. LAURENT) 39% , 피노 누아(PINOT NOIR) 25% , 멜롯(MERLOT) 24% , 기타(OTHERS) 12%","생 로랑(ST. LAURENT) 39% , 피노 누아(PINOT NOIR) 25% , 멜롯(MERLOT) 24% , 기타(OTHERS) 12%",12.5,18900,3.5,2,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2663
454,아이씨에이치,ICH,White,독일,"독일, 나헤",Lara Haas,"피노 비앙코(PINOT BIANCO) 50% , 피노 그리(PINOT GRIS) 50%","피노 비앙코(PINOT BIANCO) 50% , 피노 그리(PINOT GRIS) 50%",12.5,14900,3.5,2,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2662
455,요하닝거 화이트,JOHANNINGER WHITE,White,독일,"독일, 라인헤센",JOHANNINGER,"뮐러투르가우(MULLER - THURGAU) 55% , 소비뇽 블랑(SAUVIGNON BLANC) 20% , 리슬링(RIESLING) 15%, 기타(OTHERS) 15%","뮐러투르가우(MULLER - THURGAU) 55% , 소비뇽 블랑(SAUVIGNON BLANC) 20% , 리슬링(RIESLING) 15%, 기타(OTHERS) 15%",12,18900,3.1,2,1,1,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2661
456,아미치 투 칼론 카베르네 소비뇽,AMICI TO KALON CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아,나파",AMICI CELLARS,"카베르네 소비뇽(CABERNET SAUVIGNON) 81% , 카베르네 프랑(CABERNET FRANC) 19%","카베르네 소비뇽(CABERNET SAUVIGNON) 81% , 카베르네 프랑(CABERNET FRANC) 19%",14.7,700000,4.6,3,0,5,5,https://www.winenara.com/goods/goods_view.php?goodsNo=2650
457,아미치 오크빌 랜치 카베르네 소비뇽,AMICI OAKVILLE RANCH CABERNET SAUVIGNON,Red,미국,"미국, 캘리포니아,나파",AMICI CELLARS,"카베르네 소비뇽(CABERNET SAUVIGNON) 85%, 카베르네 프랑(CABERNET FRANC) 10%, 쁘띠 베르도(PETIT VERDOT) 5%","카베르네 소비뇽(CABERNET SAUVIGNON) 85%, 카베르네 프랑(CABERNET FRANC) 10%, 쁘띠 베르도(PETIT VERDOT) 5%",14.7,500000,4.5,3,0,5,5,https://www.winenara.com/goods/goods_view.php?goodsNo=2649
